agent_id,full_name,target_name,best_match_source_field,orcid_id,match_confidence
79100,Gustafson,Sage Gustafson,full_name,0000-0003-4757-1145,78
79100,Gustafson,K. Ben Gustafson,other_names_0,0000-0003-3530-0372,72
79100,Gustafson,L. Gustafson,other_names_0,0000-0003-2760-1044,86
79100,Gustafson,Gary Gustafson,full_name,0000-0001-9442-7758,78
79100,Gustafson,Hilary Gustafson,other_names_1,0000-0003-3978-8088,72
79100,Gustafson,Julia Gustafson,full_name,0000-0002-2603-081X,75
15449,Persson,Persson M,other_names_1,0000-0001-6506-0256,88
15449,Persson,Sybil Persson,other_names_0,0000-0002-4143-7925,70
15449,Persson,Jonas Persson,full_name,0000-0001-9143-3730,70
49412,Ahmad Damanhuri,Damanhuri Damanhuri,full_name,0009-0007-1365-9890,71
49412,Ahmad Damanhuri,Adam Damanhuri,full_name,0000-0001-8494-7987,83
49412,Ahmad Damanhuri,Damanhuri Damanhuri,full_name,0000-0003-0971-3157,71
18741,Adriaan van Royen,Adriaan van der Weel,full_name,0000-0002-8170-1903,70
18741,Adriaan van Royen,Florien van Royen,full_name,0000-0002-6785-214X,76
18741,Adriaan van Royen,Adriaan van Veldhuizen,full_name,0000-0001-9363-7227,72
9398,Abb Jean Pierre Armand David,Jean-Pierre David,full_name,0000-0001-8979-0229,71
49103,Alan Craig Beverly,Alan Craig,full_name,0000-0001-5860-9124,71
49103,Alan Craig Beverly,Alan Craig,full_name,0000-0001-5962-3884,71
29107,Alexander Zippelius,Bernd Zippelius,full_name,0009-0002-3551-7061,76
29107,Alexander Zippelius,Annette Zippelius,full_name,0009-0009-7709-6868,72
29107,Alexander Zippelius,Alexander López,other_names_0,0000-0002-1517-6987,71
45167,Alexis Jordan,Alexis Arcaya Jordan,full_name,0000-0003-3619-0785,79
45167,Alexis Jordan,Alexis Jordan,full_name,0000-0002-0404-2131,100
68082,Alena Vinnikova,Tatiana Vinnikova,full_name,0000-0001-5865-1023,75
68082,Alena Vinnikova,Irina Vinnikova,full_name,0000-0003-1445-3484,80
68082,Alena Vinnikova,Valentyna Vinnikova,full_name,0000-0001-9085-3100,82
87625,Alberto Salas,Alberto Redondo-Salas,full_name,0000-0002-0150-7060,76
87625,Alberto Salas,Alberto Salas Vázquez,full_name,0000-0002-7830-6451,76
50737,Alvin H Trundy,Alvin Tran,full_name,0000-0003-4882-7106,75
84277,Alonso Ortiz,Eva Alonso Ortiz,full_name,0000-0001-6590-7234,86
55097,Amy Elizabeth Spencer,Elizabeth Spencer,other_names_1,0000-0003-1463-1826,89
55097,Amy Elizabeth Spencer,Elizabeth Brooke Spencer,full_name,0000-0003-4447-3427,76
9063,Anezka Uhrova,Anezka Kazikova,full_name,0000-0001-5053-843X,71
9063,Anezka Uhrova,Anezka Semradova,full_name,0009-0005-6248-8990,76
9063,Anezka Uhrova,Anezka Klustova,credit_names,0000-0003-0317-0753,71
9063,Anezka Uhrova,Anezka Michalkova,full_name,0009-0004-3951-6781,73
55254,Ann Robinson,Ann Robinson,full_name,0000-0002-8555-7515,100
55254,Ann Robinson,Betty Ann Robinson,full_name,0000-0002-3339-9113,80
55254,Ann Robinson,Stacy-ann Robinson,full_name,0000-0003-3163-8771,73
55254,Ann Robinson,Jody-Ann Robinson,full_name,0009-0001-3124-0934,83
55254,Ann Robinson,Ann Robinson,full_name,0000-0001-9323-6108,100
21480,Andr Siregar,Dodi Siregar,full_name,0009-0002-0667-1465,75
21480,Andr Siregar,Jhon Siregar,other_names_0,0000-0002-8100-1237,75
17122,Anton Rant,Jenni Rant,full_name,0009-0006-5880-3406,70
17846,Anselme Riedl,Anselme Perrier,full_name,0000-0001-7915-1968,71
17846,Anselme Riedl,Anselme Cormier,full_name,0000-0001-8420-6492,71
52738,Antonio Gennari,Arianna Gennari,full_name,0000-0003-0009-744X,73
88099,Armando Soto,Ismael Armando Soto,full_name,0009-0000-4173-8333,77
82871,B  Johnson,AB Johnson,other_names_0,0000-0001-6272-1506,90
82871,B  Johnson,Tyler Johnson,full_name,0000-0002-6431-942X,70
82871,B  Johnson,S. D. Johnson,other_names_2,0000-0001-9472-842X,78
82871,B  Johnson,Kevin Johnson,full_name,0000-0001-7990-3250,70
85526,B  Crozier,Carl Crozier,full_name,0009-0007-0561-0368,73
85526,B  Crozier,Aina Crozier,full_name,0000-0001-8559-4714,73
85526,B  Crozier,ML Crozier,credit_names,0009-0005-7322-8078,80
85526,B  Crozier,Molly Crozier,full_name,0000-0001-8405-6623,70
52228,Azzedine Kahouaji,azzedine touazi,full_name,0000-0003-0786-0014,75
35119,Aurelia Crisan,Ofelia Crisan,full_name,0000-0003-0936-6175,81
35119,Aurelia Crisan,Andreea Crisan,full_name,0000-0003-1346-7171,79
88126,B  L  Phillips,L Taylor Phillips,full_name,0000-0003-4655-6904,71
99542,Barbara Bitney,Barbara Baert,full_name,0000-0002-8694-2335,74
8784,Benjamin Hayes Smith,Benjamin Hayes,full_name,0009-0003-3954-9703,82
8784,Benjamin Hayes Smith,Benjamin Hayes,full_name,0000-0002-1444-2059,82
8784,Benjamin Hayes Smith,Benjamin Hayes Cook,full_name,0009-0007-8400-3258,77
38206,Bernardo Navarro,Emerson Navarro,full_name,0000-0003-4518-423X,71
99113,Billy Snow,Billy Sichone,other_names_0,0000-0002-1534-5103,70
99113,Billy Snow,Billy Kwok,credit_names,0000-0003-0374-1413,70
67731,Bronislaw Honigberg,Bronislaw Gepner,full_name,0000-0001-9030-8962,74
81564,Bethany Porter,Bethany Patterson,full_name,0000-0003-1945-5286,77
82377,C  C Perry,K Perry,other_names_0,0000-0001-6238-8221,71
82647,C  Schilling,Jan Schilling,full_name,0000-0002-8038-7473,80
82647,C  Schilling,Christian Schilling,full_name,0000-0002-2824-8548,71
82647,C  Schilling,Marcel Schilling,full_name,0000-0002-3453-7792,71
82647,C  Schilling,Luc R. C. Schilling,full_name,0000-0003-3834-4434,71
82647,C  Schilling,Jakob Schilling,full_name,0000-0003-1611-4048,74
88191,C  Matt Guilliams,Mark Guilliams,full_name,0009-0007-0233-2622,77
56913,Carl Mahurin,Janele Mahurin,full_name,0000-0002-0854-9992,77
56913,Carl Mahurin,Heather Mahurin,full_name,0000-0001-8772-5562,74
20064,Carl W Schmidt,Carl Schmidt,full_name,0000-0003-1264-8659,92
20064,Carl W Schmidt,Carl Schmidt,full_name,0000-0001-6126-8789,92
39276,Catherine Seibert,Katharina Seibert,full_name,0000-0002-3944-8932,82
39276,Catherine Seibert,Mathias Seibert,full_name,0000-0003-1795-5279,75
92729,Charles H Uhl,Johannes H. Uhl,credit_names,0000-0002-4861-5915,71
67278,Charlotte Breitfeld,Elise Breitfeld,full_name,0000-0001-9941-5748,71
94066,Chenyang Liao,Chenyang Zhang,full_name,0009-0001-7909-0875,74
94066,Chenyang Liao,Chenyang Zhang,full_name,0009-0009-6851-7181,74
94066,Chenyang Liao,Chenyang Zhang,full_name,0009-0003-1116-4895,74
94066,Chenyang Liao,Chenyang Jiao,full_name,0009-0000-2622-0771,92
94066,Chenyang Liao,Chenyang Huang,full_name,0000-0003-2811-6008,74
23083,Charles B Storey,James Storey,full_name,0000-0001-9995-7109,71
33759,Const Burduja,Nina Burduja,full_name,0009-0000-3084-2821,72
37943,Czeslaw Mielcarski,Czeslaw Skierbiszewski,full_name,0000-0002-4718-4607,70
11216,Cotton Mather,John Mather,full_name,0000-0002-6460-0078,75
81242,D  Cleaveland,Desmond Cleaveland,full_name,0009-0000-2606-4393,77
81242,D  Cleaveland,Malcolm Cleaveland,full_name,0000-0002-3500-4349,71
81242,D  Cleaveland,John Cleaveland,full_name,0009-0002-0409-5572,79
81242,D  Cleaveland,Rachel Cleaveland,full_name,0000-0002-6306-9502,73
81242,D  Cleaveland,Casey Cleaveland,full_name,0000-0003-0495-455X,76
81242,D  Cleaveland,Matthew Cleaveland,full_name,0000-0003-3671-5297,71
88629,D  Paterson,Paterson R R,other_names_0,0000-0001-5749-6586,70
